epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,2158.34,0.65589,0.36077,0.93678,0.97448,0.98383,0.98664,0.81481,0.74481,0.35631,0.98102,0.000940855,0.000940855,0.000940855
134,2175.04,0.6596,0.3673,0.93878,0.97527,0.98837,0.98452,0.8109,0.75829,0.34854,0.98634,0.000935354,0.000935354,0.000935354
135,2191.73,0.64376,0.36177,0.93126,0.98584,0.97384,0.98456,0.8067,0.75124,0.3594,0.97278,0.000929853,0.000929853,0.000929853
136,2208.42,0.64151,0.36836,0.92611,0.98369,0.97384,0.98725,0.81912,0.75084,0.34448,0.98266,0.000924352,0.000924352,0.000924352
137,2225.09,0.63812,0.35792,0.92604,0.98337,0.98125,0.98994,0.81614,0.72944,0.34192,0.97814,0.00091885,0.00091885,0.00091885
138,2241.69,0.65217,0.36047,0.92524,0.96777,0.98837,0.98686,0.81032,0.74502,0.34979,0.97929,0.000913349,0.000913349,0.000913349
139,2258.25,0.64388,0.36798,0.92161,0.97237,0.99391,0.98934,0.817,0.74398,0.34292,0.97411,0.000907848,0.000907848,0.000907848
140,2274.88,0.6459,0.36274,0.92669,0.97129,0.99128,0.98727,0.81284,0.74813,0.33162,0.97269,0.000902347,0.000902347,0.000902347
141,2289.66,0.64685,0.35892,0.92224,0.97746,0.98837,0.98908,0.81245,0.75168,0.34376,0.98403,0.000896846,0.000896846,0.000896846
142,2303.04,0.65539,0.36974,0.92403,0.98365,0.99072,0.98965,0.81207,0.7427,0.3463,0.98311,0.000891345,0.000891345,0.000891345
143,2316.42,0.653,0.36683,0.93569,0.98015,0.98547,0.98941,0.80448,0.75474,0.35096,0.98207,0.000885844,0.000885844,0.000885844
144,2331.62,0.63541,0.35087,0.92783,0.97988,0.9877,0.98543,0.80766,0.7775,0.35171,0.99349,0.000880343,0.000880343,0.000880343
145,2348.44,0.64369,0.36194,0.92701,0.97825,0.98837,0.98867,0.8102,0.75828,0.34929,0.98373,0.000874842,0.000874842,0.000874842
146,2365.17,0.62428,0.35263,0.92313,0.9731,0.99128,0.98973,0.81941,0.7215,0.34631,0.9682,0.00086934,0.00086934,0.00086934
147,2381.85,0.63473,0.35516,0.92774,0.98237,0.97674,0.9891,0.81439,0.7514,0.34824,0.97504,0.000863839,0.000863839,0.000863839
148,2398.56,0.63713,0.35194,0.91841,0.98165,0.97737,0.98441,0.81192,0.75315,0.34358,0.98308,0.000858338,0.000858338,0.000858338
