epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,981.655,0.73252,0.41653,0.95675,0.98452,0.97621,0.98949,0.79816,0.76486,0.37526,0.98028,0.00113064,0.00113064,0.00113064
67,995.792,0.72371,0.4155,0.95611,0.98113,0.97674,0.98847,0.80259,0.75258,0.38678,0.97119,0.00112239,0.00112239,0.00112239
68,1012.75,0.73983,0.4222,0.96687,0.98754,0.98496,0.98957,0.78245,0.75856,0.38946,0.98335,0.00111414,0.00111414,0.00111414
69,1029.54,0.73145,0.42253,0.96553,0.97519,0.98974,0.98805,0.78884,0.76431,0.38371,0.98155,0.00110589,0.00110589,0.00110589
70,1046.24,0.70919,0.40479,0.95471,0.98718,0.98756,0.9899,0.79978,0.7729,0.39267,0.98647,0.00109764,0.00109764,0.00109764
71,1062.89,0.7417,0.423,0.96775,0.98249,0.98837,0.98884,0.79864,0.78775,0.37303,0.99111,0.00108938,0.00108938,0.00108938
72,1079.52,0.71175,0.40769,0.95973,0.9815,0.98733,0.9884,0.79781,0.78446,0.37526,0.98786,0.00108113,0.00108113,0.00108113
73,1094.28,0.71918,0.40189,0.96159,0.98619,0.98837,0.99011,0.80524,0.74612,0.3681,0.977,0.00107288,0.00107288,0.00107288
74,1107.62,0.71847,0.40511,0.9502,0.9824,0.98547,0.98902,0.79641,0.7663,0.3774,0.98505,0.00106463,0.00106463,0.00106463
75,1120.97,0.71231,0.40502,0.95001,0.98707,0.98504,0.99012,0.80867,0.73848,0.37441,0.96824,0.00105638,0.00105638,0.00105638
76,1135.51,0.69607,0.40185,0.94313,0.98079,0.99419,0.99194,0.80317,0.75387,0.37038,0.98328,0.00104813,0.00104813,0.00104813
77,1152.34,0.70028,0.40644,0.95464,0.98415,0.98294,0.98976,0.80453,0.7727,0.38457,0.97638,0.00103987,0.00103987,0.00103987
78,1169.12,0.71142,0.40686,0.95467,0.97823,0.981,0.98749,0.80715,0.75158,0.37312,0.9726,0.00103162,0.00103162,0.00103162
79,1185.8,0.68127,0.39473,0.94897,0.98945,0.98086,0.9887,0.8042,0.74455,0.369,0.97894,0.00102337,0.00102337,0.00102337
80,1202.48,0.70825,0.40704,0.95267,0.98792,0.97965,0.98951,0.79585,0.75328,0.37582,0.97006,0.00101512,0.00101512,0.00101512
81,1218.63,0.69238,0.39173,0.94102,0.98131,0.98659,0.99008,0.81751,0.74332,0.37079,0.97327,0.00100687,0.00100687,0.00100687
82,1231.97,0.69549,0.39869,0.94908,0.9788,0.98354,0.99002,0.8054,0.73951,0.36465,0.97189,0.000998616,0.000998616,0.000998616
83,1245.32,0.70786,0.39332,0.95296,0.97928,0.99128,0.98774,0.7948,0.76015,0.36152,0.98366,0.000990365,0.000990365,0.000990365
84,1258.77,0.69669,0.39035,0.94818,0.97346,0.98256,0.9849,0.81195,0.7465,0.36708,0.97283,0.000982113,0.000982113,0.000982113
85,1273.9,0.68198,0.3793,0.94133,0.97581,0.98859,0.9895,0.80954,0.75314,0.36719,0.97316,0.000973861,0.000973861,0.000973861
86,1290.75,0.69729,0.39318,0.94565,0.96774,0.98474,0.98726,0.79664,0.77324,0.37999,0.97974,0.00096561,0.00096561,0.00096561
87,1307.43,0.68989,0.39287,0.95154,0.97616,0.98134,0.98796,0.81128,0.74496,0.37854,0.97065,0.000957358,0.000957358,0.000957358
88,1324.07,0.67379,0.38643,0.94009,0.97584,0.98161,0.98856,0.79573,0.75991,0.36368,0.97941,0.000949106,0.000949106,0.000949106
89,1338.13,0.68845,0.38622,0.94375,0.98443,0.97965,0.9889,0.80473,0.76144,0.36797,0.97866,0.000940855,0.000940855,0.000940855
90,1351.44,0.67517,0.3847,0.94237,0.97706,0.97756,0.98848,0.79921,0.77685,0.38099,0.98178,0.000932603,0.000932603,0.000932603
91,1364.84,0.70121,0.3969,0.95095,0.98071,0.97965,0.98833,0.79264,0.76954,0.37341,0.99038,0.000924352,0.000924352,0.000924352
92,1378.21,0.69554,0.38887,0.9529,0.97257,0.97674,0.98368,0.80188,0.75392,0.36779,0.97251,0.0009161,0.0009161,0.0009161
93,1393.5,0.68976,0.38821,0.94602,0.98453,0.97503,0.98889,0.80748,0.7636,0.3682,0.98685,0.000907848,0.000907848,0.000907848
94,1410.42,0.68496,0.38626,0.9407,0.97919,0.98256,0.98922,0.80419,0.7839,0.37378,0.99192,0.000899597,0.000899597,0.000899597
95,1427.21,0.67674,0.38366,0.94201,0.98302,0.97965,0.98912,0.81793,0.76346,0.3635,0.98234,0.000891345,0.000891345,0.000891345
96,1443.95,0.67657,0.38146,0.94077,0.98119,0.97287,0.98818,0.80892,0.76715,0.36701,0.97567,0.000883093,0.000883093,0.000883093
97,1460.65,0.67144,0.37975,0.9408,0.96869,0.99178,0.98886,0.82028,0.74317,0.3596,0.96971,0.000874842,0.000874842,0.000874842
98,1477.33,0.67008,0.37744,0.93865,0.96802,0.99128,0.98797,0.8047,0.75263,0.35649,0.97394,0.00086659,0.00086659,0.00086659
99,1493.97,0.66931,0.37434,0.93965,0.98332,0.97965,0.98945,0.81152,0.75275,0.35574,0.97827,0.000858338,0.000858338,0.000858338
100,1507.76,0.66569,0.38101,0.9417,0.96758,0.99128,0.98925,0.81143,0.73963,0.36078,0.96896,0.000850087,0.000850087,0.000850087
101,1521.09,0.67686,0.3795,0.94797,0.97912,0.9844,0.98861,0.80571,0.74638,0.35752,0.97638,0.000841835,0.000841835,0.000841835
102,1534.45,0.67051,0.38307,0.93603,0.97619,0.97674,0.98706,0.81286,0.74308,0.36439,0.96489,0.000833583,0.000833583,0.000833583
103,1549.48,0.6667,0.37282,0.92875,0.98021,0.97452,0.98706,0.81261,0.75237,0.35587,0.97834,0.000825332,0.000825332,0.000825332
104,1566.39,0.68135,0.37838,0.93492,0.98083,0.97965,0.98748,0.80287,0.75926,0.36236,0.97879,0.00081708,0.00081708,0.00081708
105,1583.19,0.66493,0.37029,0.94135,0.98216,0.98256,0.98917,0.81225,0.76078,0.36137,0.97885,0.000808828,0.000808828,0.000808828
106,1599.92,0.66423,0.3725,0.94221,0.9702,0.98979,0.98931,0.81421,0.75928,0.35736,0.97492,0.000800577,0.000800577,0.000800577
107,1616.59,0.67038,0.37213,0.93778,0.98289,0.97384,0.98661,0.81514,0.74336,0.35659,0.96493,0.000792325,0.000792325,0.000792325
108,1633.2,0.672,0.37151,0.93287,0.98721,0.97921,0.98864,0.80868,0.74378,0.35423,0.9721,0.000784073,0.000784073,0.000784073
109,1647.76,0.64757,0.36497,0.92596,0.9814,0.97672,0.98604,0.81372,0.75677,0.357,0.98379,0.000775822,0.000775822,0.000775822
110,1661.09,0.65014,0.36631,0.93958,0.98137,0.9807,0.9865,0.81667,0.75936,0.35215,0.98556,0.00076757,0.00076757,0.00076757
111,1674.42,0.66975,0.3678,0.94047,0.98077,0.96771,0.98521,0.80333,0.76781,0.36115,0.9845,0.000759318,0.000759318,0.000759318
112,1689.42,0.66569,0.37274,0.93622,0.98659,0.97294,0.98484,0.79649,0.75445,0.36144,0.97825,0.000751067,0.000751067,0.000751067
113,1706.29,0.64799,0.36527,0.93283,0.97616,0.98547,0.98555,0.8098,0.75262,0.35246,0.98089,0.000742815,0.000742815,0.000742815
114,1723.08,0.64781,0.36163,0.93522,0.97062,0.98837,0.9872,0.80842,0.74532,0.35112,0.9745,0.000734564,0.000734564,0.000734564
115,1739.81,0.66987,0.38015,0.93813,0.98629,0.97582,0.9875,0.81131,0.75377,0.36177,0.98136,0.000726312,0.000726312,0.000726312
116,1756.48,0.65601,0.36911,0.93036,0.96895,0.98013,0.98503,0.8052,0.75926,0.3619,0.98374,0.00071806,0.00071806,0.00071806
117,1772.12,0.64259,0.35576,0.92766,0.97653,0.97965,0.98666,0.80796,0.75887,0.35051,0.97765,0.000709809,0.000709809,0.000709809
118,1785.44,0.65275,0.35751,0.9314,0.97993,0.97674,0.98711,0.81343,0.73338,0.34969,0.97147,0.000701557,0.000701557,0.000701557
119,1798.78,0.64594,0.36254,0.92316,0.97225,0.98837,0.98707,0.81397,0.75534,0.34893,0.99042,0.000693305,0.000693305,0.000693305
120,1813.54,0.64269,0.36222,0.93196,0.98596,0.96852,0.98558,0.80331,0.7725,0.35862,0.98924,0.000685054,0.000685054,0.000685054
121,1830.45,0.65099,0.36071,0.92637,0.98271,0.9695,0.98624,0.81323,0.75651,0.34508,0.98448,0.000676802,0.000676802,0.000676802
122,1847.26,0.64689,0.35504,0.92902,0.97436,0.99419,0.98799,0.81066,0.74067,0.34684,0.98403,0.00066855,0.00066855,0.00066855
123,1863.99,0.63556,0.35659,0.931,0.98252,0.97093,0.98721,0.81063,0.73787,0.34485,0.97674,0.000660299,0.000660299,0.000660299
124,1880.67,0.632,0.35996,0.93346,0.98421,0.97874,0.98859,0.81297,0.74648,0.34605,0.97581,0.000652047,0.000652047,0.000652047
125,1897.3,0.63345,0.35525,0.91319,0.98042,0.98515,0.98866,0.81491,0.74197,0.3514,0.97677,0.000643795,0.000643795,0.000643795
126,1910.56,0.6487,0.36144,0.92953,0.98158,0.98547,0.98814,0.81334,0.73044,0.34277,0.96773,0.000635544,0.000635544,0.000635544
127,1923.88,0.64221,0.35746,0.92752,0.96694,0.99419,0.98859,0.81367,0.74112,0.34402,0.97431,0.000627292,0.000627292,0.000627292
128,1937.24,0.62805,0.34999,0.91472,0.981,0.99005,0.98923,0.81962,0.7348,0.33756,0.98036,0.00061904,0.00061904,0.00061904
129,1952.47,0.63732,0.35434,0.92304,0.9679,0.9873,0.98591,0.80951,0.74249,0.33976,0.9826,0.000610789,0.000610789,0.000610789
130,1969.35,0.62037,0.33846,0.9121,0.97647,0.97965,0.98942,0.81611,0.73931,0.33701,0.98152,0.000602537,0.000602537,0.000602537
131,1986.11,0.6171,0.34459,0.92014,0.978,0.98837,0.98954,0.81482,0.74655,0.34339,0.97605,0.000594286,0.000594286,0.000594286
132,2002.82,0.61543,0.34365,0.91716,0.97425,0.98134,0.984,0.81035,0.73851,0.34143,0.97913,0.000586034,0.000586034,0.000586034
133,2019.48,0.63127,0.34035,0.923,0.97354,0.98559,0.98764,0.80886,0.73578,0.34307,0.9797,0.000577782,0.000577782,0.000577782
134,2036.16,0.62444,0.34753,0.92407,0.98205,0.97384,0.98578,0.80948,0.75477,0.34708,0.98453,0.000569531,0.000569531,0.000569531
135,2051.65,0.61148,0.34142,0.92105,0.97971,0.97384,0.98513,0.80623,0.75498,0.34479,0.98345,0.000561279,0.000561279,0.000561279
136,2064.94,0.61828,0.35013,0.91802,0.96941,0.98508,0.98694,0.80774,0.74408,0.34952,0.98106,0.000553027,0.000553027,0.000553027
137,2078.29,0.61489,0.34045,0.91832,0.97507,0.98517,0.98782,0.81937,0.72966,0.3455,0.97415,0.000544776,0.000544776,0.000544776
138,2092.9,0.62302,0.34528,0.91413,0.97756,0.97384,0.98741,0.81793,0.73138,0.34493,0.97434,0.000536524,0.000536524,0.000536524
139,2109.8,0.6114,0.3397,0.91007,0.98011,0.98256,0.9876,0.81809,0.74773,0.34366,0.98112,0.000528272,0.000528272,0.000528272
140,2126.58,0.62144,0.34687,0.91781,0.98035,0.97093,0.98454,0.81875,0.72805,0.34567,0.97176,0.000520021,0.000520021,0.000520021
141,2143.3,0.61937,0.33982,0.91268,0.98078,0.97885,0.98677,0.81,0.75287,0.34316,0.98352,0.000511769,0.000511769,0.000511769
142,2159.94,0.62371,0.34766,0.9131,0.98369,0.97965,0.98605,0.81276,0.74191,0.34169,0.98214,0.000503517,0.000503517,0.000503517
143,2174.43,0.61616,0.34164,0.91926,0.97093,0.98547,0.98848,0.8201,0.74784,0.3372,0.98141,0.000495266,0.000495266,0.000495266
144,2187.78,0.60034,0.33404,0.91118,0.98077,0.9815,0.98773,0.8214,0.74613,0.34214,0.97677,0.000487014,0.000487014,0.000487014
145,2201.22,0.60608,0.33832,0.91266,0.98327,0.97433,0.98642,0.81242,0.74882,0.34182,0.98221,0.000478762,0.000478762,0.000478762
146,2214.66,0.60052,0.3293,0.91213,0.97862,0.97441,0.98763,0.81955,0.72863,0.34542,0.96554,0.000470511,0.000470511,0.000470511
147,2229.82,0.59897,0.33195,0.91257,0.98031,0.9828,0.98619,0.81798,0.7415,0.33825,0.98105,0.000462259,0.000462259,0.000462259
148,2246.75,0.60351,0.33224,0.90697,0.98284,0.97965,0.98512,0.81475,0.74149,0.33472,0.98369,0.000454007,0.000454007,0.000454007
149,2263.57,0.58954,0.32987,0.90659,0.97484,0.98317,0.98534,0.82054,0.73268,0.33827,0.98116,0.000445756,0.000445756,0.000445756
150,2280.29,0.60234,0.33446,0.90532,0.97837,0.98547,0.98819,0.81158,0.7494,0.33656,0.98075,0.000437504,0.000437504,0.000437504
151,2296.98,0.59193,0.33044,0.9108,0.97787,0.98256,0.98859,0.82029,0.74803,0.33674,0.9841,0.000429253,0.000429253,0.000429253
152,2311.22,0.59556,0.3226,0.90191,0.98062,0.97674,0.98511,0.81743,0.73927,0.33195,0.98746,0.000421001,0.000421001,0.000421001
153,2324.57,0.59861,0.32875,0.91223,0.97551,0.98256,0.98707,0.81457,0.74162,0.33556,0.98354,0.000412749,0.000412749,0.000412749
154,2337.9,0.59965,0.3289,0.90509,0.9749,0.98256,0.98565,0.81722,0.74289,0.33858,0.98703,0.000404498,0.000404498,0.000404498
155,2352.11,0.57626,0.321,0.90311,0.98007,0.98303,0.98664,0.8181,0.74658,0.33898,0.98449,0.000396246,0.000396246,0.000396246
156,2369,0.5943,0.32781,0.91031,0.9737,0.9773,0.98605,0.81718,0.75528,0.34208,0.99148,0.000387994,0.000387994,0.000387994
157,2385.8,0.58422,0.32578,0.89816,0.97574,0.98256,0.98391,0.81669,0.74289,0.33282,0.9863,0.000379743,0.000379743,0.000379743
158,2402.55,0.58257,0.31871,0.89484,0.97917,0.98101,0.98677,0.8186,0.74223,0.34154,0.97928,0.000371491,0.000371491,0.000371491
159,2419.23,0.58275,0.3201,0.90196,0.98029,0.9815,0.98189,0.81877,0.75094,0.33288,0.98751,0.000363239,0.000363239,0.000363239
160,2435.9,0.59902,0.32711,0.90973,0.98055,0.98145,0.9821,0.81794,0.73567,0.33005,0.98415,0.000354988,0.000354988,0.000354988
161,2452.56,0.57387,0.31324,0.89477,0.97667,0.98256,0.98499,0.81811,0.74064,0.32778,0.98519,0.000346736,0.000346736,0.000346736
162,2468.56,0.58668,0.32404,0.89887,0.97897,0.97965,0.98544,0.81957,0.73898,0.32839,0.9775,0.000338484,0.000338484,0.000338484
163,2481.87,0.56828,0.31084,0.89871,0.97361,0.98401,0.98617,0.81585,0.73962,0.3357,0.98446,0.000330233,0.000330233,0.000330233
